field,HKmin,HKmax,Kmin,Kmax
0,0.2,0.7,12,14.5
1,0.2,0.7,12,14.5
2,0.2,0.7,12,14.5
3,0.2,0.7,12,14.5
4,0.2,0.7,12,14.5
5,0.2,0.7,12,14.5
6,0.2,0.7,12,14.5
7,0.2,0.7,12,14.5
8,0.2,0.7,12,14.5
9,0.2,0.7,12,14.5
10,0.2,0.7,12,14.5
11,0.2,0.7,12,14.5
12,0.2,0.7,12,14.5
13,0.2,0.7,12,14.5
14,0.2,0.7,12,14.5
15,0.2,0.7,12,14.5
16,0.7,2.0,12,15.5
17,1.001,2.0,12,15.5
18,0.7,2.0,12,15.5
19,0.4,1.0,12,14.5
20,0.9,2.0,12,15.5
21,1.2,2.0,12,16.
22,1.0,2.0,12,15.5
23,1.0,2.0,12.0,15.5
24,1.0,2.0,12.0,15.5
25,0.4,1.2,12.0,14.5
26,0.4,1.2,12.0,14.5
27,1.2,2.0,12.0,15.0
28,1.0,1.8,12.0,15.5
29,0.5,1.2,12.0,15.0
30,0.6,1.7,12.0,15.0
31,1.2,2.0,12.0,15.0
32,1.0,2.0,12.0,15.5
33,0.6,1.2,12.0,15.0
34,0.8,1.4,12.0,15.0
35,0.9,1.6,12.0,15.0
36,0.5,1.2,12.0,15.0
37,0.35,1.0,12.0,14.5
38,0.35,1.0,12.0,14.5
39,0.7,1.6,12.0,15.0
40,0.4,0.9,12.0,14.5
41,0.35,0.6,12.0,14.5
42,0.45,0.9,12.0,14.5
43,0.7,1.3,12.0,14.5
44,0.3,0.6,12.0,14.5
45,0.18,0.4,12.0,13.5
46,0.25,0.5,12.0,14.0
47,0.35,0.65,12.0,14.0
48,0.35,0.65,12.0,14.0
49,0.25,0.4,12.0,14.0
50,0.2,0.55,12.0,14.0
51,0.4,1.0,12.0,14.5
52,0.15,0.3,12.0,14.5
53,0.2,0.35,12.0,14.0
54,0.2,0.35,12.0,14.0
55,0.2,0.35,12.0,14.0
