    Xi (deg)   Xn       delMag   No. in bin
    -0.340    -0.340    -0.025      18
    -0.320    -0.340    -0.023    1735
    -0.300    -0.340    -0.019    2119
    -0.280    -0.340    -0.016    1882
    -0.260    -0.340    -0.011    1843
    -0.240    -0.340    -0.007    2426
    -0.220    -0.340    -0.006    2212
    -0.200    -0.340    -0.003    2360
    -0.180    -0.340     0.003    1920
    -0.160    -0.340     0.003    2290
    -0.140    -0.340     0.003    1926
    -0.120    -0.340     0.001    2287
    -0.100    -0.340    -0.004     300
    -0.080    -0.340    -0.001       0
    -0.060    -0.340     0.005       0
    -0.040    -0.340     0.010       0
    -0.020    -0.340     0.010       0
     0.000    -0.340     0.000       0
     0.020    -0.340    -0.002       0
     0.040    -0.340    -0.002       0
     0.060    -0.340    -0.026       0
     0.080    -0.340    -0.050       0
     0.100    -0.340    -0.057      31
     0.120    -0.340    -0.033    2101
     0.140    -0.340    -0.001    1974
     0.160    -0.340     0.007    1621
     0.180    -0.340     0.011    1562
     0.200    -0.340     0.012    1579
     0.220    -0.340     0.010    2091
     0.240    -0.340     0.006    2637
     0.260    -0.340    -0.003    2265
     0.280    -0.340    -0.011    1838
     0.300    -0.340    -0.016    1746
     0.320    -0.340    -0.026    1682
     0.340    -0.340    -0.032     531
    -0.340    -0.320    -0.020     950
    -0.320    -0.320    -0.018    6730
    -0.300    -0.320    -0.015    7546
    -0.280    -0.320    -0.012    7953
    -0.260    -0.320    -0.009    7222
    -0.240    -0.320    -0.005    8208
    -0.220    -0.320    -0.005    7782
    -0.200    -0.320    -0.002    7256
    -0.180    -0.320     0.003    7222
    -0.160    -0.320     0.005    8004
    -0.140    -0.320     0.006    8011
    -0.120    -0.320     0.003    8161
    -0.100    -0.320    -0.002    1604
    -0.080    -0.320    -0.000       0
    -0.060    -0.320     0.005       0
    -0.040    -0.320     0.010       0
    -0.020    -0.320     0.010       0
     0.000    -0.320     0.000       0
     0.020    -0.320    -0.002       0
     0.040    -0.320    -0.002       0
     0.060    -0.320    -0.026       0
     0.080    -0.320    -0.049       0
     0.100    -0.320    -0.053      78
     0.120    -0.320    -0.029    7725
     0.140    -0.320    -0.001    7893
     0.160    -0.320     0.006    7620
     0.180    -0.320     0.009    6454
     0.200    -0.320     0.010    8172
     0.220    -0.320     0.009    8684
     0.240    -0.320     0.006    8557
     0.260    -0.320    -0.000    9767
     0.280    -0.320    -0.006    9429
     0.300    -0.320    -0.010    8585
     0.320    -0.320    -0.018    8049
     0.340    -0.320    -0.025    3002
    -0.340    -0.300    -0.014    2042
    -0.320    -0.300    -0.012    7059
    -0.300    -0.300    -0.010    8185
    -0.280    -0.300    -0.008    8677
    -0.260    -0.300    -0.007    7854
    -0.240    -0.300    -0.004    8969
    -0.220    -0.300    -0.003    7863
    -0.200    -0.300    -0.001    8195
    -0.180    -0.300     0.003    8071
    -0.160    -0.300     0.007    7602
    -0.140    -0.300     0.009    8086
    -0.120    -0.300     0.004    8664
    -0.100    -0.300     0.000    1329
    -0.080    -0.300     0.001       0
    -0.060    -0.300     0.005       0
    -0.040    -0.300     0.010       0
    -0.020    -0.300     0.010       0
     0.000    -0.300     0.000       0
     0.020    -0.300    -0.002       0
     0.040    -0.300    -0.002       0
     0.060    -0.300    -0.025       0
     0.080    -0.300    -0.048       0
     0.100    -0.300    -0.050     182
     0.120    -0.300    -0.025    7903
     0.140    -0.300    -0.000    8146
