    Xi (deg)   Xn       delMag   No. in bin
    -0.340    -0.340    -0.020     150
    -0.320    -0.340    -0.018    2423
    -0.300    -0.340    -0.016    3519
    -0.280    -0.340    -0.015    3674
    -0.260    -0.340    -0.012    3448
    -0.240    -0.340    -0.009    3991
    -0.220    -0.340    -0.010    4049
    -0.200    -0.340    -0.012    3914
    -0.180    -0.340    -0.013    3266
    -0.160    -0.340    -0.013    3776
    -0.140    -0.340    -0.012    3377
    -0.120    -0.340    -0.019    3250
    -0.100    -0.340    -0.032     575
    -0.080    -0.340    -0.033       0
    -0.060    -0.340    -0.023       0
    -0.040    -0.340    -0.013       0
    -0.020    -0.340    -0.013       0
     0.000    -0.340    -0.000       0
     0.020    -0.340     0.006       0
     0.040    -0.340     0.006       0
     0.060    -0.340     0.002       0
     0.080    -0.340    -0.001       0
     0.100    -0.340     0.011     642
     0.120    -0.340     0.021    5064
     0.140    -0.340     0.027    5076
     0.160    -0.340     0.023    4748
     0.180    -0.340     0.019    5013
     0.200    -0.340     0.016    4343
     0.220    -0.340     0.013    5180
     0.240    -0.340     0.007    5414
     0.260    -0.340     0.000    4793
     0.280    -0.340    -0.010    4772
     0.300    -0.340    -0.021    4217
     0.320    -0.340    -0.037    3763
     0.340    -0.340    -0.051     928
    -0.340    -0.320    -0.013    2712
    -0.320    -0.320    -0.012   10461
    -0.300    -0.320    -0.011   11845
    -0.280    -0.320    -0.010   12176
    -0.260    -0.320    -0.008   11489
    -0.240    -0.320    -0.007   12836
    -0.220    -0.320    -0.008   12346
    -0.200    -0.320    -0.009   12206
    -0.180    -0.320    -0.010   12387
    -0.160    -0.320    -0.009   12387
    -0.140    -0.320    -0.009   11858
    -0.120    -0.320    -0.017   13191
    -0.100    -0.320    -0.029    1992
    -0.080    -0.320    -0.030       0
    -0.060    -0.320    -0.021       0
    -0.040    -0.320    -0.013       0
    -0.020    -0.320    -0.013       0
     0.000    -0.320    -0.000       0
     0.020    -0.320     0.006       0
     0.040    -0.320     0.006       0
     0.060    -0.320     0.005       0
     0.080    -0.320     0.004       0
     0.100    -0.320     0.013    1751
     0.120    -0.320     0.021   12333
     0.140    -0.320     0.024   12931
     0.160    -0.320     0.020   11856
     0.180    -0.320     0.016   12470
     0.200    -0.320     0.014   12875
     0.220    -0.320     0.010   13477
     0.240    -0.320     0.006   14173
     0.260    -0.320    -0.001   14026
     0.280    -0.320    -0.010   15019
     0.300    -0.320    -0.018   13082
     0.320    -0.320    -0.030   11980
     0.340    -0.320    -0.040    4130
    -0.340    -0.300    -0.006    4335
    -0.320    -0.300    -0.006   11953
    -0.300    -0.300    -0.005   13147
    -0.280    -0.300    -0.005   14010
    -0.260    -0.300    -0.004   12309
    -0.240    -0.300    -0.004   13030
    -0.220    -0.300    -0.005   13633
    -0.200    -0.300    -0.006   13132
    -0.180    -0.300    -0.006   13874
    -0.160    -0.300    -0.005   13303
    -0.140    -0.300    -0.006   13547
    -0.120    -0.300    -0.015   14162
    -0.100    -0.300    -0.026    2474
    -0.080    -0.300    -0.027       0
    -0.060    -0.300    -0.020       0
    -0.040    -0.300    -0.013       0
    -0.020    -0.300    -0.013       0
     0.000    -0.300    -0.000       0
     0.020    -0.300     0.006       0
     0.040    -0.300     0.006       0
     0.060    -0.300     0.007       0
     0.080    -0.300     0.008       0
     0.100    -0.300     0.015    1827
     0.120    -0.300     0.020   14054
     0.140    -0.300     0.020   13681
     0.160    -0.300     0.017   14187
     0.180    -0.300     0.013   13292
     0.200    -0.300     0.011   13805
     0.220    -0.300     0.008   14415
     0.240    -0.300     0.004   14879
     0.260    -0.300    -0.002   15443
     0.280    -0.300    -0.009   15660
     0.300    -0.300    -0.015   16105
     0.320    -0.300    -0.022   14939
     0.340    -0.300    -0.029    5837
    -0.340    -0.280    -0.003    5366
    -0.320    -0.280    -0.003   12726
    -0.300    -0.280    -0.002   14963
    -0.280    -0.280    -0.002   14850
    -0.260    -0.280    -0.002   14018
    -0.240    -0.280    -0.003   14195
    -0.220    -0.280    -0.004   14632
    -0.200    -0.280    -0.005   13942
    -0.180    -0.280    -0.004   14241
    -0.160    -0.280    -0.003   13588
    -0.140    -0.280    -0.004   13697
    -0.120    -0.280    -0.013   13344
    -0.100    -0.280    -0.023    2249
    -0.080    -0.280    -0.025       0
    -0.060    -0.280    -0.019       0
    -0.040    -0.280    -0.013       0
    -0.020    -0.280    -0.013       0
     0.000    -0.280    -0.000       0
     0.020    -0.280     0.006       0
     0.040    -0.280     0.006       0
     0.060    -0.280     0.009       0
     0.080    -0.280     0.012       0
     0.100    -0.280     0.017    2318
     0.120    -0.280     0.020   14998
     0.140    -0.280     0.018   14176
     0.160    -0.280     0.014   14712
     0.180    -0.280     0.010   13907
     0.200    -0.280     0.008   14345
     0.220    -0.280     0.006   14016
     0.240    -0.280     0.002   15731
     0.260    -0.280    -0.003   15628
     0.280    -0.280    -0.009   15439
     0.300    -0.280    -0.013   15549
     0.320    -0.280    -0.019   15831
     0.340    -0.280    -0.024    5405
    -0.340    -0.260    -0.002    4414
    -0.320    -0.260    -0.002   12455
    -0.300    -0.260    -0.001   12305
    -0.280    -0.260    -0.001   13756
    -0.260    -0.260    -0.002   11658
    -0.240    -0.260    -0.003   12686
    -0.220    -0.260    -0.004   12177
    -0.200    -0.260    -0.004   13196
    -0.180    -0.260    -0.003   11830
    -0.160    -0.260    -0.001   12716
    -0.140    -0.260    -0.001   13101
    -0.120    -0.260    -0.011   13416
    -0.100    -0.260    -0.020    2780
    -0.080    -0.260    -0.023       0
    -0.060    -0.260    -0.018       0
    -0.040    -0.260    -0.013       0
    -0.020    -0.260    -0.013       0
     0.000    -0.260    -0.000       0
     0.020    -0.260     0.006       0
     0.040    -0.260     0.006       0
     0.060    -0.260     0.010       0
     0.080    -0.260     0.013       0
     0.100    -0.260     0.018    2422
     0.120    -0.260     0.020   13081
     0.140    -0.260     0.016   13112
     0.160    -0.260     0.012   12730
     0.180    -0.260     0.007   13055
     0.200    -0.260     0.004   13076
     0.220    -0.260     0.001   12915
     0.240    -0.260    -0.002   13691
     0.260    -0.260    -0.006   13802
     0.280    -0.260    -0.011   13982
     0.300    -0.260    -0.015   14212
     0.320    -0.260    -0.020   13657
     0.340    -0.260    -0.024    5120
    -0.340    -0.240    -0.001    5154
