    Xi (deg)   Xn       delMag   No. in bin
    -0.340    -0.340    -0.021      21
    -0.320    -0.340    -0.021    2018
    -0.300    -0.340    -0.019    2434
    -0.280    -0.340    -0.016    2036
    -0.260    -0.340    -0.014    2000
    -0.240    -0.340    -0.009    2631
    -0.220    -0.340    -0.009    2358
    -0.200    -0.340    -0.005    2581
    -0.180    -0.340     0.002    2058
    -0.160    -0.340     0.004    2488
    -0.140    -0.340     0.001    2047
    -0.120    -0.340    -0.007    2466
    -0.100    -0.340    -0.014     341
    -0.080    -0.340    -0.008       0
    -0.060    -0.340     0.001       0
    -0.040    -0.340     0.010       0
    -0.020    -0.340     0.010       0
     0.000    -0.340     0.000       0
     0.020    -0.340    -0.004       0
     0.040    -0.340    -0.004       0
     0.060    -0.340    -0.026       0
     0.080    -0.340    -0.048       0
     0.100    -0.340    -0.057      39
     0.120    -0.340    -0.030    2244
     0.140    -0.340     0.002    2145
     0.160    -0.340     0.011    1784
     0.180    -0.340     0.013    1548
     0.200    -0.340     0.016    1618
     0.220    -0.340     0.013    2250
     0.240    -0.340     0.007    2819
     0.260    -0.340    -0.003    2324
     0.280    -0.340    -0.012    1977
     0.300    -0.340    -0.018    1866
     0.320    -0.340    -0.029    1842
     0.340    -0.340    -0.037     605
    -0.340    -0.320    -0.016    1093
    -0.320    -0.320    -0.015    7557
    -0.300    -0.320    -0.014    8485
    -0.280    -0.320    -0.012    8648
    -0.260    -0.320    -0.010    7898
    -0.240    -0.320    -0.006    8837
    -0.220    -0.320    -0.005    8471
    -0.200    -0.320    -0.002    7829
    -0.180    -0.320     0.003    7733
    -0.160    -0.320     0.005    8560
    -0.140    -0.320     0.004    8541
    -0.120    -0.320    -0.004    8926
    -0.100    -0.320    -0.011    1703
    -0.080    -0.320    -0.007       0
    -0.060    -0.320     0.001       0
    -0.040    -0.320     0.010       0
    -0.020    -0.320     0.010       0
     0.000    -0.320     0.000       0
     0.020    -0.320    -0.004       0
     0.040    -0.320    -0.004       0
     0.060    -0.320    -0.027       0
     0.080    -0.320    -0.051       0
