    Xi (deg)   Xn       delMag   No. in bin
    -0.340    -0.340    -0.047      21
    -0.320    -0.340    -0.042    1099
    -0.300    -0.340    -0.035    1447
    -0.280    -0.340    -0.029    1318
    -0.260    -0.340    -0.019    1233
    -0.240    -0.340    -0.017    1926
    -0.220    -0.340    -0.016    2094
    -0.200    -0.340    -0.021    1635
    -0.180    -0.340    -0.021    1197
    -0.160    -0.340    -0.020    1957
    -0.140    -0.340    -0.018    1250
    -0.120    -0.340    -0.030    1434
    -0.100    -0.340    -0.042     222
    -0.080    -0.340    -0.040       0
    -0.060    -0.340    -0.027       0
    -0.040    -0.340    -0.015       0
    -0.020    -0.340    -0.015       0
     0.000    -0.340     0.000       0
     0.020    -0.340    -0.002       0
     0.040    -0.340    -0.002       0
     0.060    -0.340    -0.010       0
     0.080    -0.340    -0.018       0
     0.100    -0.340    -0.014     132
     0.120    -0.340     0.007    2265
     0.140    -0.340     0.027    1816
     0.160    -0.340     0.026    1747
     0.180    -0.340     0.023    2008
     0.200    -0.340     0.021    1598
     0.220    -0.340     0.016    2648
     0.240    -0.340     0.008    2645
     0.260    -0.340    -0.005    2357
     0.280    -0.340    -0.020    2142
     0.300    -0.340    -0.036    2202
     0.320    -0.340    -0.048    2113
     0.340    -0.340    -0.059     355
    -0.340    -0.320    -0.030     721
    -0.320    -0.320    -0.028    4569
    -0.300    -0.320    -0.024    5386
    -0.280    -0.320    -0.021    4836
    -0.260    -0.320    -0.014    4723
    -0.240    -0.320    -0.014    5586
    -0.220    -0.320    -0.013    4919
    -0.200    -0.320    -0.017    5138
    -0.180    -0.320    -0.016    5046
    -0.160    -0.320    -0.014    5794
    -0.140    -0.320    -0.014    5054
    -0.120    -0.320    -0.024    6748
    -0.100    -0.320    -0.036     750
    -0.080    -0.320    -0.034       0
    -0.060    -0.320    -0.024       0
    -0.040    -0.320    -0.015       0
    -0.020    -0.320    -0.015       0
     0.000    -0.320     0.000       0
     0.020    -0.320    -0.002       0
     0.040    -0.320    -0.002       0
     0.060    -0.320    -0.007       0
     0.080    -0.320    -0.011       0
     0.100    -0.320    -0.005     448
     0.120    -0.320     0.010    5477
     0.140    -0.320     0.025    6074
     0.160    -0.320     0.022    5021
     0.180    -0.320     0.020    5708
     0.200    -0.320     0.018    5660
     0.220    -0.320     0.014    6505
     0.240    -0.320     0.007    7737
     0.260    -0.320    -0.004    7600
