Name RA DEC l b Epoch
BLG500 17:51:60 -28:36:35 0:59:60 -01:01:45 2000.0
BLG501 17:51:56 -29:50:00 359:56:21 -01:38:24 2000.0
BLG502 17:51:39 -33:32:15 356:43:00 -03:28:25 2000.0
BLG503 17:51:34 -34:46:05 355:38:43 -04:04:59 2000.0
BLG504 17:57:33 -27:59:40 2:08:57 -01:46:29 2000.0
BLG505 17:57:34 -29:13:15 1:05:13 -02:23:20 2000.0
BLG506 17:57:31 -30:27:23 0:00:37 -02:59:51 2000.0
BLG507 17:57:30 -31:41:30 358:56:09 -03:36:36 2000.0
BLG508 17:57:30 -32:55:20 357:51:57 -04:13:20 2000.0
BLG509 17:57:30 -34:09:10 356:47:39 -04:49:59 2000.0
BLG510 17:57:30 -35:23:00 355:43:14 -05:26:31 2000.0
BLG511 18:03:02 -27:22:49 3:17:01 -02:31:19 2000.0
BLG512 18:03:04 -28:36:39 2:12:56 -03:08:08 2000.0
BLG513 18:03:06 -29:50:40 1:08:24 -03:44:36 2000.0
BLG514 18:03:11 -31:04:27 0:04:29 -04:21:45 2000.0
BLG515 18:03:15 -32:18:25 359:00:02 -04:58:27 2000.0
BLG516 18:03:20 -33:32:15 357:55:44 -05:35:13 2000.0
BLG517 18:03:25 -34:46:05 356:51:17 -06:11:51 2000.0
BLG580 18:08:22 -25:32:20 5:28:34 -02:40:06 2000.0
BLG518 18:08:26 -26:46:10 4:24:17 -03:16:34 2000.0
BLG519 18:08:30 -28:00:00 3:19:54 -03:52:56 2000.0
BLG520 18:08:36 -29:13:50 2:15:37 -04:29:36 2000.0
BLG521 18:08:44 -30:27:40 1:11:26 -05:06:31 2000.0
BLG573 18:08:54 -31:41:30 0:07:18 -05:43:39 2000.0
BLG588 18:09:02 -32:55:20 359:02:48 -06:20:16 2000.0
BLG522 18:13:47 -26:09:15 5:31:13 -04:01:58 2000.0
BLG523 18:13:55 -27:23:05 4:26:52 -04:38:32 2000.0
BLG524 18:14:02 -28:36:55 3:22:16 -05:14:46 2000.0
BLG525 18:14:12 -29:50:45 2:17:51 -05:51:27 2000.0
BLG526 18:14:25 -31:04:35 1:13:34 -06:28:31 2000.0
BLG527 18:19:05 -23:04:40 8:48:30 -03:38:33 2000.0
BLG528 18:19:08 -24:18:30 7:43:27 -04:13:47 2000.0
BLG529 18:19:11 -25:32:20 6:38:18 -04:48:55 2000.0
BLG530 18:19:14 -26:46:10 5:33:02 -05:23:55 2000.0
BLG531 18:19:26 -28:00:00 4:28:33 -06:00:34 2000.0
BLG532 18:19:36 -29:13:50 3:23:42 -06:36:38 2000.0
BLG533 17:52:00 -27:23:05 2:03:15 00:24:19 2000.0
BLG534 17:51:51 -31:04:15 358:51:52 -02:15:17 2000.0
BLG535 17:51:44 -32:18:25 357:47:14 -02:51:48 2000.0
BLG536 17:57:30 -36:36:50 354:38:41 -06:02:57 2000.0
BLG539 18:03:30 -35:59:55 355:46:40 -06:48:20 2000.0
BLG543 18:13:47 -22:27:45 8:46:18 -02:16:31 2000.0
BLG544 18:13:47 -23:41:35 7:41:20 -02:51:44 2000.0
