         name |     RA    |     Dec   |       name     |     RA    |     Dec   |  offset | ukirtDetect |   correctT0 | 
2015-BLG-0001 | 268.57313 | -29.00708 | UK2018_s6_4_4_H_C57055 | 268.57306 | -29.00709 |    0.21 |   0 |   0 | 
2015-BLG-0002 | 268.14396 | -29.10097 | UK2018_s5_3_3_H_C28706 | 268.14393 | -29.10099 |    0.11 |   0 |   0 | 
2015-BLG-0003 | 268.50967 | -28.73756 | UK2018_s4_4_2_H_C2829 | 268.50950 | -28.73733 |    0.97 |   0 |   0 | 
2015-BLG-0004 | 268.54621 | -28.26314 | UK2018_s4_4_3_H_C14889 | 268.54621 | -28.26313 |    0.03 |   0 |   0 | 
2015-BLG-0006 | 267.79983 | -29.69631 | UK2018_s5_2_1_H_C47741 | 267.79982 | -29.69632 |    0.07 |   0 |   0 | 
2015-BLG-0007 | 268.52683 | -29.26347 | UK2018_s6_1_4_H_C44707 | 268.52651 | -29.26311 |    1.65 |   0 |   0 | 
2015-BLG-0009 | 269.35233 | -29.57872 | UK2018_s6_3_2_H_C18963 | 269.35236 | -29.57875 |    0.13 |   0 |   0 | 
2015-BLG-0010 | 268.91167 | -29.64322 | UK2018_s6_1_2_H_C64428 | 268.91165 | -29.64318 |    0.16 |   0 |   0 | 
2015-BLG-0011 | 269.21783 | -29.28325 | UK2018_s6_2_3_H_C41010 | 269.21786 | -29.28324 |    0.09 |   0 |   0 | 
2015-BLG-0020 | 268.45754 | -29.75103 | UK2018_s6_1_1_H_C30600 | 268.45727 | -29.75067 |    1.54 |   0 |   0 | 
2015-BLG-0021 | 268.23442 | -29.69431 | UK2018_s5_2_2_H_C46264 | 268.23419 | -29.69382 |    1.89 |   0 |   0 | 
2015-BLG-0022 | 268.09079 | -29.78503 | UK2018_s5_1_2_H_C17983 | 268.09082 | -29.78505 |    0.12 |   0 |   0 | 
2015-BLG-0026 | 268.87546 | -27.83853 | UK2018_s3_3_2_H_C7037 | 268.87545 | -27.83857 |    0.15 |   0 |   0 | 
2015-BLG-0028 | 269.01167 | -29.17564 | UK2018_s6_4_3_H_C4113 | 269.01170 | -29.17563 |    0.11 |   0 |   0 | 
2015-BLG-0057 | 268.56879 | -28.77000 | UK2018_s4_2_2_H_C60533 | 268.56858 | -28.77019 |    0.96 |   0 |   0 | 
2015-BLG-0058 | 268.17538 | -28.81811 | UK2018_s4_2_1_H_C47013 | 268.17592 | -28.81773 |    2.20 |   0 |   0 | 
2015-BLG-0059 | 268.06938 | -28.84006 | UK2018_s4_2_1_H_C39796 | 268.06965 | -28.84031 |    1.26 |   0 |   0 | 
2015-BLG-0061 | 269.21413 | -29.81667 | UK2018_s6_2_2_H_C8891 | 269.21417 | -29.81666 |    0.14 |   0 |   0 | 
2015-BLG-0062 | 268.93642 | -29.38331 | UK2018_s6_1_3_H_C8266 | 268.93676 | -29.38308 |    1.35 |   0 |   0 | 
2015-BLG-0071 | 268.64571 | -29.77075 | UK2018_s6_2_1_H_C24414 | 268.64555 | -29.77108 |    1.29 |   0 |   0 | 
